No.,Time,Source,Destination,Protocol,Length,Info,Label
30,2.965012,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
31,2.965237,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
59,5.569909,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
64,5.570228,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
73,6.366289,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
78,6.366621,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
89,7.488397,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
94,7.488799,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
107,8.612847,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
112,8.613169,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
124,9.749796,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
129,9.750141,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
142,10.843449,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
147,10.843825,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
160,11.967035,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
165,11.967346,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
176,13.062817,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
181,13.063173,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
192,14.038891,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
197,14.039242,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
210,15.201211,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
215,15.201474,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
226,16.334104,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
231,16.334441,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
244,17.471184,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
249,17.471533,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
260,18.611539,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
265,18.61182,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
276,19.647417,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
281,19.647668,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
295,20.805147,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
300,20.805451,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
311,21.916213,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
316,21.916567,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
