No.,Time,Source,Destination,Protocol,Length,Info,Label
3483,326.604955,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3484,326.60515,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3533,331.605001,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3537,331.872375,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
3542,331.872707,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3546,331.872954,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
3591,336.905102,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3592,336.905263,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3641,341.74214,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
3646,341.742489,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
3691,346.755477,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3692,346.75564,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3743,351.755527,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3748,352.063564,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
3752,352.063779,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3757,352.063944,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
3804,357.105389,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3805,357.105584,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3855,362.009778,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
3860,362.010145,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
3910,367.055596,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3911,367.055902,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3960,372.055594,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3964,372.309091,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
3966,372.309273,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3973,372.309496,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
4020,377.355895,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4021,377.356087,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4068,382.198968,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
4073,382.199254,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
4120,387.205848,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4121,387.206048,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4170,392.205913,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4174,392.463471,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
4176,392.46358,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4183,392.463832,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
4230,397.506082,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4231,397.506287,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4280,402.424161,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
4285,402.424503,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
4332,407.456162,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4333,407.456355,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4384,412.295045,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
4389,412.295322,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
4436,417.306322,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4437,417.30648,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4486,422.306409,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4492,422.618908,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
4496,422.619112,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4501,422.619302,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
4546,427.656521,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4547,427.656733,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4596,432.620769,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
4601,432.621033,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
4648,437.656646,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4649,437.656842,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4699,442.656682,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4704,442.928798,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
4706,442.92899,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4713,442.9292,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
4760,447.956964,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4761,447.957182,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4808,452.920319,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
4813,452.920663,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
4862,457.957207,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4863,457.957411,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4914,462.957152,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4921,463.309454,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
4926,463.309655,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4930,463.309827,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
4979,468.357349,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4980,468.357558,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5024,473.053029,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5029,473.053394,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5076,478.057239,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5077,478.057462,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5127,482.971507,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5132,482.971802,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5179,488.007445,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5180,488.007646,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5229,493.007429,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5234,493.285474,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5239,493.285748,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5243,493.286005,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5290,498.30754,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5291,498.307733,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5342,503.193834,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5347,503.194094,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5394,508.207725,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5395,508.207889,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5446,513.20775,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5452,513.645673,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5457,513.64603,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5461,513.646214,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
