No.,Time,Source,Destination,Protocol,Length,Info,Label
16,1.486123,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
17,1.486353,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
71,6.536077,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
72,6.536249,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
126,11.586064,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
127,11.586262,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
172,15.669916,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
177,15.678428,172.24.10.210,172.24.10.1,DNP 3.0,189,Response,0
186,16.431806,172.24.10.1,172.24.10.210,DNP 3.0,69,Confirm,0
196,16.923723,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
201,16.931331,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
211,17.761832,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
216,17.76934,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
233,19.100162,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
238,19.108717,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
255,20.762581,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
260,20.771426,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
277,22.380335,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
282,22.387431,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
292,23.115481,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
297,23.122383,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
309,24.074923,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
314,24.082448,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
323,24.80813,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
328,24.815432,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
342,25.756739,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
347,25.76446,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
356,26.542101,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
361,26.549838,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
376,27.920869,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
381,27.928413,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
398,29.383853,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
403,29.391352,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
413,30.190275,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
418,30.198494,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
432,31.312139,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
