No.,Time,Source,Destination,Protocol,Length,Info,Label
6344,543.509783,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6345,543.509937,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6399,548.409306,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6404,548.413534,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6456,553.459731,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6457,553.459917,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6513,558.509756,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6514,558.545296,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6517,558.551266,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6523,558.557131,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6575,563.559778,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6576,563.560005,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6630,568.610128,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6631,568.64083,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6634,568.646732,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6640,568.651404,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6692,573.659955,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6693,573.660158,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6749,578.710341,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6751,578.76838,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6754,578.774323,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6760,578.779993,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6812,583.81017,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6813,583.810368,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6867,588.844031,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6872,588.854267,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6924,593.862353,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6925,593.862566,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6982,598.913011,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6983,598.956247,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6986,598.961936,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6992,598.968064,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
7044,604.009131,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7045,604.00939,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
7099,609.060671,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7101,609.100368,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
7104,609.106269,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
7110,609.110855,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
7162,614.110964,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7163,614.111171,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
