No.,Time,Source,Destination,Protocol,Length,Info,Label
10637,912.965362,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
10638,912.965548,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
10692,918.015524,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
10693,918.039834,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
10695,918.044868,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
10702,918.051471,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
10754,923.065706,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
10755,923.0659,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
10809,928.115673,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
10811,928.182666,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
10815,928.187647,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
10822,928.192129,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
10874,933.215613,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
10875,933.215792,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
10930,938.266075,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
10933,938.307172,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
10935,938.312252,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
10942,938.31758,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
10994,943.36555,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
10995,943.365709,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11051,948.415406,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11052,948.425483,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
11054,948.430617,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11061,948.436956,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
11113,953.466195,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11114,953.466358,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11168,958.516109,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11170,958.579589,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
11172,958.584663,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11179,958.591083,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
11231,963.61623,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11232,963.616441,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11284,968.515083,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
11289,968.523189,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
11341,973.566276,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11342,973.566427,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11396,978.616482,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11397,978.619594,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
11400,978.625452,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11406,978.629665,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
11460,983.666902,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11461,983.667095,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11515,988.716842,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11517,988.742587,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
11520,988.748572,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11526,988.752981,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
11578,993.766668,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11579,993.766861,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11633,998.814952,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
11634,998.81678,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11639,998.819744,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11643,998.824598,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
11695,1003.867222,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11696,1003.867422,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11750,1008.917114,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11754,1009.009363,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
11757,1009.015272,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11763,1009.019949,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
11815,1014.067392,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11816,1014.067606,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11872,1019.080178,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
11877,1019.088043,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
11927,1024.117297,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11928,1024.117486,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11982,1029.16743,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
11987,1029.280966,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
11990,1029.286527,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
11996,1029.289917,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
12048,1034.317468,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12049,1034.317664,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12104,1039.362398,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
12105,1039.368053,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12107,1039.368154,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12114,1039.37236,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
12168,1044.417702,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12169,1044.417884,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12224,1049.332969,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
12229,1049.340266,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
12282,1054.367805,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12283,1054.367957,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12339,1059.417944,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12342,1059.466263,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
12345,1059.472203,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12351,1059.476518,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
12403,1064.518041,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12404,1064.518231,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12458,1069.550964,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
12463,1069.558858,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
12514,1074.568128,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12515,1074.56831,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12571,1079.618319,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12575,1079.700261,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
12578,1079.7059,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12584,1079.710292,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
12637,1084.718426,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12638,1084.718628,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12692,1089.76845,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12695,1089.85674,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
12698,1089.86249,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12704,1089.866532,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
12758,1094.868707,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12759,1094.868908,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12813,1099.918673,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12814,1099.937046,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
12817,1099.942989,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12823,1099.947459,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
12876,1104.968716,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
12877,1104.968915,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
12931,1110.018973,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
