No.,Time,Source,Destination,Protocol,Length,Info,Label
4881,394.920199,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4882,394.920394,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4941,399.920285,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
4942,399.920483,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
4946,400.033841,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
4951,400.034222,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5010,405.070357,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5011,405.070547,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5070,410.070455,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5071,410.07065,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5076,410.138515,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5081,410.138852,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5139,415.170706,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5140,415.170896,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5202,420.170754,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5203,420.17094,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5209,420.247656,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5214,420.248032,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5271,425.270665,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5272,425.270849,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5331,430.270783,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
5332,430.270985,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
5338,430.362399,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
5343,430.362724,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
5398,435.371027,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
