No.,Time,Source,Destination,Protocol,Length,Info,Label
21729,2014.349199,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
21734,2014.349519,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
21740,2014.692747,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
21790,2019.702073,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
21791,2019.70226,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
21838,2024.452456,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
21843,2024.452757,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
21847,2024.739547,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
21897,2029.752218,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
21898,2029.752406,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
21945,2034.569144,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
21950,2034.569425,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
21957,2035.030251,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
22007,2040.052466,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
22008,2040.05266,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
22055,2044.695822,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
22060,2044.696092,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
22067,2045.15218,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
22119,2050.152659,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
22120,2050.152865,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
22164,2054.784959,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
22169,2054.785316,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
22176,2055.141798,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
22228,2060.152719,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
22229,2060.152909,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
22273,2064.867038,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
22278,2064.867343,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
22285,2065.19004,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
22335,2070.20302,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
22336,2070.203166,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
22383,2075.023721,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
22388,2075.024,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
22392,2075.310736,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
22444,2080.352964,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
22445,2080.353116,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
22492,2085.097011,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
22497,2085.097345,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
22501,2085.489664,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
22553,2090.503132,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
22554,2090.503321,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
22601,2095.27847,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
22606,2095.278768,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
22612,2095.852833,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
22664,2100.853368,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
22665,2100.853564,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
22708,2105.229321,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
22713,2105.229667,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
22717,2105.605467,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
22769,2110.653577,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
22770,2110.653752,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
22817,2115.436714,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
22822,2115.43711,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
22828,2115.731153,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
22878,2120.753627,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
22879,2120.753819,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
22928,2125.585859,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
22933,2125.586136,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
22937,2125.976403,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
22989,2131.004043,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
22990,2131.00424,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
23035,2135.642819,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
23040,2135.643176,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
23049,2136.251892,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
23101,2141.253975,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
23102,2141.254155,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
23144,2145.71549,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
23149,2145.715824,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
23156,2146.140713,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
23206,2151.154173,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
23207,2151.154376,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
23256,2155.885468,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
23261,2155.885793,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
23266,2156.180287,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
