No.,Time,Source,Destination,Protocol,Length,Info,Label
4300,371.969124,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
4305,371.976824,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
4355,376.985715,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4356,376.98592,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4410,381.945522,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
4415,381.952622,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
4467,386.985842,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4468,386.986049,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4524,392.035548,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4528,392.360341,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
4531,392.365377,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4538,392.372126,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
4590,397.385886,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4591,397.386095,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4644,402.362221,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
4650,402.372097,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
4700,407.386107,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4701,407.386327,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4756,412.43583,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4760,412.573223,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
4762,412.578256,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4769,412.582645,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
4821,417.586247,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4822,417.586433,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4876,422.540473,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
4881,422.54897,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
4933,427.586423,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4934,427.586649,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
4988,432.636431,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
4992,432.855304,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
4994,432.86041,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5001,432.867115,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
5056,437.886004,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5057,437.886158,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5109,442.803974,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
5114,442.813624,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
5166,447.836666,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5167,447.836874,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5219,452.729628,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
5224,452.738189,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
5276,457.736937,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5277,457.737138,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5331,462.78719,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
5335,463.093071,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
5338,463.098961,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
5344,463.103386,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
5396,468.137332,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
