No.,Time,Source,Destination,Protocol,Length,Info,Label
50130,3079.767648,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50131,3079.767775,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50216,3084.693807,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
50221,3084.699107,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
50291,3089.717684,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50292,3089.717835,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50358,3094.767996,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50363,3095.111645,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
50368,3095.115229,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50372,3095.119897,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
50446,3100.117925,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50447,3100.118014,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50525,3105.020109,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
50530,3105.025491,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
50601,3110.068104,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50602,3110.068334,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50670,3115.118094,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50687,3116.486995,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
50692,3116.490608,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50696,3116.4954,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
50774,3121.518192,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50775,3121.518337,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50838,3125.418071,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
50843,3125.423508,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
50913,3130.468374,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50914,3130.468569,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50981,3135.1639,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
50986,3135.169143,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
51066,3140.168832,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51067,3140.168977,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51144,3145.218596,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51145,3145.218718,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51157,3146.010389,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
51162,3146.015585,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
51228,3151.018697,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51229,3151.018863,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51306,3155.688694,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
51311,3155.694098,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
51379,3160.718942,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51380,3160.719029,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51450,3165.769271,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51452,3165.895349,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
51457,3165.898809,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51461,3165.902992,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
51523,3170.91905,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51524,3170.919226,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51612,3175.969481,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51625,3176.623429,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
51630,3176.626984,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51634,3176.631127,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
51704,3181.669302,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51705,3181.669403,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51776,3186.719375,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51782,3187.076899,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
51787,3187.080453,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51791,3187.083569,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
51802,3187.797561,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
51807,3187.803104,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
51875,3192.819492,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51876,3192.819588,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
